check_item,doc_value,recomputed_value,source,status,note
paragraph.old_caliber_tokens,0,0,docs\待填数据.docx,PASS,检查段落是否残留526/600份/87.67%旧口径
paragraph.formal_allocation.1,961/961/880/661/219/91.57%,961/961/880/661/219/91.57%,docs\待填数据.docx + data\raw\数据.xlsx(Q8),PASS,正式调查回收口径
paragraph.formal_allocation.2,961/961/880/661/219/91.57%,961/961/880/661/219/91.57%,docs\待填数据.docx + data\raw\数据.xlsx(Q8),PASS,正式调查回收口径
paragraph.formal_allocation.3,961/961/880/661/219/91.57%,961/961/880/661/219/91.57%,docs\待填数据.docx + data\raw\数据.xlsx(Q8),PASS,正式调查回收口径
paragraph.overall_sample.1,961/961/880/91.57%,961/961/880/91.57%,docs\待填数据.docx + data\raw\数据.xlsx,PASS,正式调查总样本口径
paragraph.gender_age.1,880;452;428;51.36;48.64;4.09;33.41;35.91;17.39;9.20,880;452;428;51.36;48.64;4.09;33.41;35.91;17.39;9.20,"docs\待填数据.docx + data\raw\数据.xlsx(Q1,Q2)",PASS,样本结构（性别+年龄五档占比）
table3.文化体验维度.dim_name,文化体验维度,文化体验维度,docs\待填数据.docx(table3),PASS,维度名称一致性
table3.文化体验维度.item_count,3,3,"data\raw\数据.xlsx(C052,C053,C054)",PASS,题项数
table3.文化体验维度.alpha,0.8063,0.8063,"data\raw\数据.xlsx(C052,C053,C054) + cronbach_alpha",PASS,Cronbach alpha（4位小数）
table3.文化体验维度.grade,良好,良好,alpha=0.8063,PASS,评级规则：>=0.8良好，>=0.7可接受
table3.非遗体验维度.dim_name,非遗体验维度,非遗体验维度,docs\待填数据.docx(table3),PASS,维度名称一致性
table3.非遗体验维度.item_count,2,2,"data\raw\数据.xlsx(C053,C054)",PASS,题项数
table3.非遗体验维度.alpha,0.7052,0.7052,"data\raw\数据.xlsx(C053,C054) + cronbach_alpha",PASS,Cronbach alpha（4位小数）
table3.非遗体验维度.grade,可接受,可接受,alpha=0.7052,PASS,评级规则：>=0.8良好，>=0.7可接受
table3.产品体验维度.dim_name,产品体验维度,产品体验维度,docs\待填数据.docx(table3),PASS,维度名称一致性
table3.产品体验维度.item_count,3,3,"data\raw\数据.xlsx(C055,C056,C057)",PASS,题项数
table3.产品体验维度.alpha,0.7440,0.7440,"data\raw\数据.xlsx(C055,C056,C057) + cronbach_alpha",PASS,Cronbach alpha（4位小数）
table3.产品体验维度.grade,可接受,可接受,alpha=0.7440,PASS,评级规则：>=0.8良好，>=0.7可接受
table3.配套保障维度.dim_name,配套保障维度,配套保障维度,docs\待填数据.docx(table3),PASS,维度名称一致性
table3.配套保障维度.item_count,4,4,"data\raw\数据.xlsx(C058,C059,C060,C061)",PASS,题项数
table3.配套保障维度.alpha,0.8286,0.8286,"data\raw\数据.xlsx(C058,C059,C060,C061) + cronbach_alpha",PASS,Cronbach alpha（4位小数）
table3.配套保障维度.grade,良好,良好,alpha=0.8286,PASS,评级规则：>=0.8良好，>=0.7可接受
table3.宣传策略维度.dim_name,宣传策略维度,宣传策略维度,docs\待填数据.docx(table3),PASS,维度名称一致性
table3.宣传策略维度.item_count,3,3,"data\raw\数据.xlsx(C062,C063,C065)",PASS,题项数
table3.宣传策略维度.alpha,0.7835,0.7835,"data\raw\数据.xlsx(C062,C063,C065) + cronbach_alpha",PASS,Cronbach alpha（4位小数）
table3.宣传策略维度.grade,可接受,可接受,alpha=0.7835,PASS,评级规则：>=0.8良好，>=0.7可接受
table3.整体量表.dim_name,整体量表,整体量表,docs\待填数据.docx(table3),PASS,维度名称一致性
table3.整体量表.item_count,13,13,"data\raw\数据.xlsx(C052,C053,C054,C055,C056,C057,C058,C059,C060,C061,C062,C063,C065)",PASS,题项数
table3.整体量表.alpha,0.8278,0.8278,"data\raw\数据.xlsx(C052,C053,C054,C055,C056,C057,C058,C059,C060,C061,C062,C063,C065) + cronbach_alpha",PASS,Cronbach alpha（4位小数）
table3.整体量表.grade,良好,良好,alpha=0.8278,PASS,评级规则：>=0.8良好，>=0.7可接受
table4.KMO,0.9396,0.9396,data\raw\数据.xlsx(C052-C089) + kmo_bartlett,PASS,KMO（4位小数）
table4.Bartlett_chi2,15872.136,15872.136,data\raw\数据.xlsx(C052-C089) + kmo_bartlett,PASS,Bartlett近似卡方（3位小数）
table4.Bartlett_df,666,666,data\raw\数据.xlsx(C052-C089) + kmo_bartlett,PASS,自由度df
table4.Bartlett_p,<0.001,<0.001,data\raw\数据.xlsx(C052-C089) + kmo_bartlett,PASS,显著性p
table5.row2.var,文化程度,文化程度,docs\待填数据.docx(table5),PASS,分组标题
table5.row2.attr,初中及以下,初中及以下,docs\待填数据.docx(table5),PASS,属性名称
table5.row2.count,69,69,data\raw\数据.xlsx(Q3),PASS,人数
table5.row2.pct,7.84%,7.84%,data\raw\数据.xlsx(Q3),PASS,比例（2位小数）
table5.row2.total,100%,100%,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row3.var,,,docs\待填数据.docx(table5),PASS,分组标题
table5.row3.attr,中专/高中,中专/高中,docs\待填数据.docx(table5),PASS,属性名称
table5.row3.count,97,97,data\raw\数据.xlsx(Q3),PASS,人数
table5.row3.pct,11.02%,11.02%,data\raw\数据.xlsx(Q3),PASS,比例（2位小数）
table5.row3.total,,,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row4.var,,,docs\待填数据.docx(table5),PASS,分组标题
table5.row4.attr,大专,大专,docs\待填数据.docx(table5),PASS,属性名称
table5.row4.count,205,205,data\raw\数据.xlsx(Q3),PASS,人数
table5.row4.pct,23.30%,23.30%,data\raw\数据.xlsx(Q3),PASS,比例（2位小数）
table5.row4.total,,,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row5.var,,,docs\待填数据.docx(table5),PASS,分组标题
table5.row5.attr,本科,本科,docs\待填数据.docx(table5),PASS,属性名称
table5.row5.count,345,345,data\raw\数据.xlsx(Q3),PASS,人数
table5.row5.pct,39.20%,39.20%,data\raw\数据.xlsx(Q3),PASS,比例（2位小数）
table5.row5.total,,,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row6.var,,,docs\待填数据.docx(table5),PASS,分组标题
table5.row6.attr,硕士及以上,硕士及以上,docs\待填数据.docx(table5),PASS,属性名称
table5.row6.count,164,164,data\raw\数据.xlsx(Q3),PASS,人数
table5.row6.pct,18.64%,18.64%,data\raw\数据.xlsx(Q3),PASS,比例（2位小数）
